Name,Age,Date of Birth,Nationality,Team,Position,Debut,Height in cm,Weight in kg,Matches,Wins,Draws,Losses,Minutes,Started,Points,Tries,Drops,Penalties,Conversions,Yellow Cards,Red Cards
Sam ASPLAND-ROBINSON,24,1997,UNITED KINGDOM,LEICESTER,WINGER,2018,188,100,15,3,0,12,585,8,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,1,NOT FOUND
Matias ALEMANNO,29,1991,ARGENTINA,GLOUCESTER,LOCK,2017,198,117,85,29,3,53,3947,52,25,5,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,1
Alejandro ALMELA-UDRY,30,1990,ARGENTINA,BEAUVAIS XV RC,OUVERTURE,NOT FOUND,180,83,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
Ignacio CALLES,25,1995,ARGENTINA,PAU,PROP,2015,187,116,44,20,1,23,1561,17,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
Bautista DELGUY,24,1997,ARGENTINA,BORDEAUX,WINGER,2017,182,83,46,20,3,23,3054,42,100,20,NOT FOUND,NOT FOUND,NOT FOUND,1,NOT FOUND
Matias FERRO,25,1995,ARGENTINA,C S BEAUNE,FULLBACK,2014,183,88,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
Francisco GOMEZ KODELA,35,1985,ARGENTINA,LYON,PROP,2009,184,121,189,94,10,85,9209,130,10,2,NOT FOUND,NOT FOUND,NOT FOUND,10,1
Axel MULLER,27,1993,URUGUAY,BRIVE,WINGER,2015,186,94,82,37,3,42,5533,70,100,20,NOT FOUND,NOT FOUND,NOT FOUND,5,NOT FOUND
Ivan NEMER,23,1998,ARGENTINA,BENETTON,PROP,2019,180,116,14,5,0,9,507,4,5,1,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
Carlos MUZZIO,36,1984,ARGENTINA,MONT DE MARSAN,PROP,2010,180,111,176,95,4,77,4854,118,40,8,NOT FOUND,NOT FOUND,NOT FOUND,29,3
Allan ALAALATOA,27,1994,AUSTRALIA,BRUMBIES,PROP,2013,182,125,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
Afa AMOSA,30,1990,SAMOA,BORDEAUX,BACK ROW,2012,187,113,166,84,6,76,6174,106,152,30,NOT FOUND,NOT FOUND,1,7,1
Darcy BREEN,22,1999,AUSTRALIA,WARATAHS,PROP,2018,187,113,12,3,0,9,122,0,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
Steven CUMMINS,29,1992,AUSTRALIA,PAU,LOCK,2017,202,120,58,26,2,30,3392,44,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
Rob LEOTA,24,1997,AUSTRALIA,MELBOURNE REBELS,FLANKER,2018,190,110,34,15,1,18,1091,10,10,2,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
Alex MAFI,24,1996,AUSTRALIA,REDS,HOOKER,2017,177,107,51,23,1,27,2269,22,60,12,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
Tom MURDAY,32,1989,AUSTRALIA,AGEN,LOCK,2013,200,114,93,43,3,47,5854,72,20,4,NOT FOUND,NOT FOUND,NOT FOUND,1,NOT FOUND
Moses POREO,25,1996,NOT FOUND,MELBOURNE HARLEQUINS,SCRUM HALF,2019,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
Jeral SKELTON,22,1999,AUSTRALIA,REBELS,BACK ROW,2019,191,104,2,0,0,2,39,0,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
James TUTTLE,25,1996,AUSTRALIA,REBELS,SCRUM HALF,2017,176,84,17,7,0,10,512,6,40,NOT FOUND,NOT FOUND,10,5,NOT FOUND,NOT FOUND
Riley WINTER,25,1996,AUSTRALIA,PERTH SPIRIT,LOCK,2015,194,110,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
Jack WALSH,22,1999,AUSTRALIA,EXETER,FLY HALF,2018,180,80,6,2,0,4,127,1,4,NOT FOUND,NOT FOUND,NOT FOUND,2,NOT FOUND,NOT FOUND
Liam WRIGHT,23,1997,SOUTH AFRICA,REDS,BACK ROW,2015,193,100,56,23,2,31,3461,43,40,8,NOT FOUND,NOT FOUND,NOT FOUND,1,NOT FOUND
Gillian BENOY,26,1995,BELGIUM,BELGIUM,LOCK,2018,200,117,11,4,0,7,792,11,10,2,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
Ervin MURIC,24,1997,BELGIUM,BELGIUM,WINGER,2018,180,95,8,2,0,6,640,8,5,1,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
Thomas WALLRAF,23,1998,BELGIUM,BELGIUM,WINGER,2004,173,85,13,4,0,9,913,12,10,2,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
Bastien GALLAIRE,20,1999,FRANCE,BELGIUM,PROP,2011,190,117,8,2,0,6,289,2,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
Tyler ARDRON,29,1991,CANADA,CASTRES,BACK ROW,2014,197,112,62,28,4,30,4183,57,45,9,NOT FOUND,NOT FOUND,NOT FOUND,3,NOT FOUND
Taylor PARIS,28,1992,CANADA,OYONNAX,WINGER,2012,185,93,130,75,5,50,5084,120,175,35,NOT FOUND,NOT FOUND,NOT FOUND,7,NOT FOUND
Evan OLMSTEAD,30,1991,CANADA,NEWCASTLE FALCONS,LOCK,2017,198,115,58,26,1,31,3683,44,15,3,NOT FOUND,NOT FOUND,NOT FOUND,6,NOT FOUND
Dean ADAMSON,28,1992,USA,ROUEN,WINGER,2011,182,92,11,4,0,7,874,11,25,5,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
Will ADDISON,28,1992,USA,ULSTER,CENTER,NOT FOUND,185,95,53,31,0,22,3293,48,49,6,NOT FOUND,3,5,1,1
Cameron ANDERSON,21,1999,CANADA,SCOTLAND U20,FULL BACK,2018,188,94,12,2,0,10,633,8,10,2,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
Jake ARMSTRONG,27,1991,UNITED KINGDOM,BRISTOL,PROP,2018,185,126,19,10,1,8,512,4,10,2,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
Tom ARSCOTT,33,1987,UNITED KINGDOM,NEWCASTLE ,WINGER,2014,183,90,26,8,1,17,1799,21,10,2,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
Mark ATKINSON,31,1990,USA,GLOUCESTER,CENTER,2014,196,105,102,53,2,47,6563,85,110,22,NOT FOUND,NOT FOUND,NOT FOUND,1,NOT FOUND
Corey BALDWIN,22,1998,UNITED KINGDOM,EXETER,WINGER,2017,183,99,25,12,0,13,1309,14,15,3,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
George BARTON,23,1997,AUSTRALIA,GLOUCESTER,SCRUM HALF,2019,183,85,19,7,0,12,751,9,72,2,NOT FOUND,10,16,NOT FOUND,NOT FOUND
Joe BATLEY,24,1996,UNITED KINGDOM,WORCESTER,LOCK,2018,200,125,31,8,0,23,1607,21,15,3,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
Ross BATTY,34,1986,UNITED KINGDOM,BATH,HOOKER,2006,186,115,43,21,2,20,1552,16,55,11,NOT FOUND,NOT FOUND,NOT FOUND,1,2
Josh BEAUMONT,28,1993,UNITED KINGDOM,SALE,LOCK,2014,201,118,85,46,2,37,5183,64,60,12,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
Callum BRALEY,27,1994,UNITED KINGDOM,BENETTON,SCRUM HALF,2014,178,84,99,43,2,54,3412,39,60,12,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
Kieran BROOKES,30,1990,UNITED KINGDOM,WASPS,PROP,2014,188,129,103,50,2,51,4874,79,5,1,NOT FOUND,NOT FOUND,NOT FOUND,4,1
Mike BROWN,35,1985,ENGLAND,HARLEQUINS,FULL BACK,2005,183,90,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
Billy BURNS,26,1994,UNITED KINGDOM,ULSTER,FLY HALF,2014,183,87,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
Richard CAPSTICK,21,2000,UNITED KINGDOM,EXETER,BACK ROW,2018,191,103,44,30,0,14,1877,20,25,5,NOT FOUND,NOT FOUND,NOT FOUND,1,NOT FOUND
Charlie CLARE,29,1991,UNITED KINGDOM,LEICESTER,HOOKER,2016,184,123,42,20,0,22,1400,12,30,6,NOT FOUND,NOT FOUND,NOT FOUND,1,NOT FOUND
Brett CONNON,24,1996,UNITED KINGDOM,NEWCASTLE,FULL BACK,2016,176,93,44,18,1,25,1813,22,145,NOT FOUND,NOT FOUND,23,38,NOT FOUND,NOT FOUND
Ollie DEVOTO,27,1993,UNITED KINGDOM,EXETER,FLY HALF,2014,193,103,87,63,1,23,4996,66,87,17,NOT FOUND,NOT FOUND,1,4,NOT FOUND
Charlie EWELS,25,1995,UNITED KINGDOM,BATH,LOCK,2014,199,112,105,52,3,50,5964,76,20,4,NOT FOUND,NOT FOUND,NOT FOUND,4,1
Owen FARRELL,29,1991,UNITED KINGDOM,ENGLAND,FLY HALF,2012,188,96,145,109,4,32,10176,136,1695,14,4,325,319,4,1
Jamie GEORGE,30,1990,UNITED KINGDOM,ENGLAND,HOOKER,2013,183,106,145,111,5,29,7821,104,105,21,NOT FOUND,NOT FOUND,NOT FOUND,3,NOT FOUND
James GRAYSON,22,1998,UNITED KINGDOM,NORTHAMPTON,FLY HALF,2017,187,84,61,32,0,29,3522,41,380,3,1,50,106,NOT FOUND,NOT FOUND
Ross HARRISON,28,1992,USA,SALE,PROP,2014,185,119,117,57,3,57,6564,83,5,1,NOT FOUND,NOT FOUND,NOT FOUND,2,NOT FOUND
Mikey HAYWOOD,29,1991,UNITED KINGDOM,NORTHAMPTON,HOOKER,2014,180,105,88,42,1,45,3950,45,65,13,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
Olly ROBINSON,27,1993,UNITED KINGDOM,CARDIFF,BACK ROW,2016,186,105,82,41,0,41,4921,57,45,9,NOT FOUND,NOT FOUND,NOT FOUND,6,NOT FOUND
Will ROWLANDS,29,1991,UNITED KINGDOM,WALES,LOCK,2015,203,123,90,42,2,46,5327,72,25,5,NOT FOUND,NOT FOUND,NOT FOUND,2,NOT FOUND
Kyle SINCKLER,28,1993,UNITED KINGDOM,ENGLAND,PROP,2014,176,122,130,75,3,52,6409,91,40,8,NOT FOUND,NOT FOUND,NOT FOUND,4,NOT FOUND
Ed SLATER,32,1988,UNITED KINGDOM,GLOUCESTER,LOCK,2013,196,119,96,46,2,48,5802,78,55,11,NOT FOUND,NOT FOUND,NOT FOUND,4,NOT FOUND
Ben SPENCER,28,1992,UNITED KINGDOM,BATH,SCRUM HALF,2010,180,89,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
Elliot STOOKE,27,1993,UNITED KINGDOM,BATH,LOCK,2014,198,114,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
Henry THOMAS,29,1991,USA,BATH,PILIER,2010,188,118,73,36,3,34,652,41,15,3,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
Henry TRINDER,32,1989,UNITED KINGDOM,GLOUCESTER,CENTER,2015,183,85,62,28,2,32,3591,46,65,13,NOT FOUND,NOT FOUND,NOT FOUND,2,NOT FOUND
Billy SEARLE,25,1996,UNITED KINGDOM,WORCESTER,FLY HALF,2016,178,85,55,17,1,37,2117,26,212,4,NOT FOUND,34,45,NOT FOUND,NOT FOUND
James SHORT,31,1989,USA,EXETER,WINGER,2014,182,92,35,20,1,14,1843,21,60,12,NOT FOUND,NOT FOUND,NOT FOUND,1,NOT FOUND
David SISI,28,1993,GERMANY,ZEBRE,BACK ROW,2014,193,117,89,27,2,60,5487,73,20,4,NOT FOUND,NOT FOUND,NOT FOUND,4,NOT FOUND
Will SPENCER,28,1992,ENGLAND,BATH,LOCK,2014,201,125,59,19,1,39,3535,50,5,1,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,1
Sam STUART,29,1991,NEW ZEALAND,NEWCASTLE,SCRUM HALF,2014,174,85,57,30,1,26,1822,19,20,4,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
Henry TRINDER,32,1989,UNITED KINGDOM,GLOUCESTER,CENTER,2015,183,85,62,28,2,32,3591,46,65,13,NOT FOUND,NOT FOUND,NOT FOUND,2,NOT FOUND
Billy TWELVETREES,32,1988,UNITED KINGDOM,GLOUCESTER,CENTER,2014,191,106,137,76,2,59,8528,103,664,12,NOT FOUND,90,167,6,NOT FOUND
